id,comment,label
0,they have to clean inside the vehicle .,['interior']
1,"after servicing there was dust , so they should clean dust inside the car properly .",['interior']
2,"they should do good cleaning of vehicle . they should increase the man power should appoint a manager , who check the vehicle 's cleanliness before giving it to the customer 's and should take less time in cleaning process .","[u'clean', 'staff']"
3,they should take manual feedback from customers after the servicing is done .,['others']
4,cleanliness is not good . they have to improve the washing centers .,[u'clean']
5,"when we receive vehicle after servicing , they don \? t clean vehicle properly . there was dust in my car even after cleaning .",[u'clean']
6,"after the servicing they did not cleaned windshield clearly . due to this when i was going back to coimbatore , i was not able to see outside clearly it was late night . so i came out of the car clean it from myself then i had done my travel .",[u'clean']
7,"entrance part of vehicle , it should be clean .",['part']
8,while returning the car after washing it should be good in terms of cleanliness . inside the car there i found some mud which was not cleaned properly and those place seems to be rusted later . these things need to be implemented .,"['interior', u'thing']"
9,they should give the vehicle after cleaning it completely and properly .,[u'clean']
10,they should clean the glasses of the vehicle properly . also it should properly clean from inside . an employee name shaikh is very good in nature .,['interior']
11,no improvement require,['no improve']
12,need to improve washing process . stain of the water remain on the vehicle after washing . should clean it properly .,[u'clean']
13,car wash services are not good . it is poor . previously i received call from service center about the feedback i had given same feedback regarding he wash services but still it not improved . while servicing of my vehicle there was ant at the silencer . they had washed my car but ant was as it is it was not cleared . there was soil on front wheel rear wheel but the service center staff was not cleaned it . in side of car seat also not in proper condition . once i had done car wash from outside dealer they had everything properly . but the toyota dealer not done it . so they should improve it .,"['staff', u'clean']"
14,"when they use machines to wash , side and front of car are not cleaned properly . when we asked about that they told its dambar . when we touched the car we realize its dust and not dumber . after that they wash the car .",[u'clean']
15,customer service must be complete and properly .,['others']
16,they should clean the car properly and also they should clean the inside of the car .,['interior']
17,they have to check the vehicle properly before giving to customer .,['check']
18,the car is not washed properly after a wash also it is seemed to be oily . they damaged my tire the employees always keep on changing due to which there is lack of knowledge,[u'clean']
19,they should do proper cleaning of the vehicle .,[u'clean']
20,washing cleaning of vehicle should be more proper .,[u'clean']
21,when i went in morning to dealership they clean my car but when i took my vehicle back from dealership there was dust particles on my car which they suppose to clean . i didn \? t told them anything about this because i was in hurry .,['others']
22,they should do the proper cleaning of interior part of the vehicle .,['interior']
23,car washing service is not good . they washed my car improperly . they should improve on the same .,[u'clean']
24,they should check before handovering the car customer . some times they forget cleaning some areas .,"['check', u'clean']"
25,they should do the work as per customers need .,['work']
26,the cleanliness and condition of the vehicle when it is returned i really don \? t like as it was not been washed properly as on the vehicle some patches or dots every time remain and i have told many times and when i told them clean the vehicles properly they told it will be extra charged for cleaning properly as my son cleans the vehicle better than them,[u'clean']
